"Date","1200000400","1200010000","1200006100","1200024100","1200028900","1200002800","1200007300","1200004300","1200007900","1200000100","1200035300","1200010300","1200005200","1200019600","1200025600","1200026200","1200004000","1200011200"
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0
2007-01-02,1.60000002384186,0.800000011920929,1.39999997615814,1.70000004768372,0,1.20000004768372,0,0,1.5,0,0,0,1.20000004768372,0,0,0,1.20000004768372,0
2007-01-03,0,0.800000011920929,0.5,0.300000011920929,1.60000002384186,0.800000011920929,0,1.5,0.899999976158142,0,0,0,0.600000023841858,0,0,0,0.899999976158142,0
2007-01-04,0,0,0,0,0,0,0,0,0,0,0,1.5,0,2,1.79999995231628,0,0,0
2007-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-12,1.60000002384186,1.70000004768372,2.29999995231628,2,2.5,1.89999997615814,1.60000002384186,1.5,0,0,1.60000002384186,0,0,0,0,0,0,0
2007-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-15,0,0,0.200000002980232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
